M N progIN reset progLoad start result clk valid done output
0 0 0 0 0 0 0 0 x x x
0 0 0 0 0 0 0 1 x x x
0 0 0b0000100000111 0 1 0 0 0 0 0 x
0 0 0b0000100000111 0 1 0 0 1 0 0 x
0 0 0b0001000000100 0 1 0 0 0 0 0 x
0 0 0b0001000000100 0 1 0 0 1 0 0 x
0 0 0b0000000000100 0 1 0 0 0 0 0 x
0 0 0b0000000000100 0 1 0 0 1 0 0 x
0 0 0b0010000000000 0 1 0 0 0 0 0 x
0 0 0b0010000000000 0 1 0 0 1 0 0 x
0 0 0b0100100000010 0 1 0 0 0 0 0 x
0 0 0b0100100000010 0 1 0 0 1 0 0 x
0 0 0b0010100000000 0 1 0 0 0 0 0 x
0 0 0b0010100000000 0 1 0 0 1 0 0 x
0 0 0b1000100000000 0 1 0 0 0 0 0 x
0 0 0b1000100000000 0 1 0 0 1 0 0 x
0 0 0b0101100000000 0 1 0 0 0 0 0 x
0 0 0b0101100000000 0 1 0 0 1 0 0 x
0 0 0b0011000000111 0 1 0 0 0 0 0 x
0 0 0b0011000000111 0 1 0 0 1 0 0 x
0 0 0b1001000000000 0 1 0 0 0 0 0 x
0 0 0b1001000000000 0 1 0 0 1 0 0 x
0 0 0b0101100000001 0 1 0 0 0 0 0 x
0 0 0b0101100000001 0 1 0 0 1 0 0 x
0 0 0b0011000000111 0 1 0 0 0 0 0 x
0 0 0b0011000000111 0 1 0 0 1 0 0 x
0 0 0b1001100000000 0 1 0 0 0 0 0 x
0 0 0b1001100000000 0 1 0 0 1 0 0 x
0 0 0b0101100000010 0 1 0 0 0 0 0 x
0 0 0b0101100000010 0 1 0 0 1 0 0 x
0 0 0b0011000000111 0 1 0 0 0 0 0 x
0 0 0b0011000000111 0 1 0 0 1 0 0 x
0 0 0b1010000000000 0 1 0 0 0 0 0 x
0 0 0b1010000000000 0 1 0 0 1 0 0 x
0 0 0b0101100000011 0 1 0 0 0 0 0 x
0 0 0b0101100000011 0 1 0 0 1 0 0 x
0 0 0b0011000000111 0 1 0 0 0 0 0 x
0 0 0b0011000000111 0 1 0 0 1 0 0 x
0 0 0b1010100000000 0 1 0 0 0 0 0 x
0 0 0b1010100000000 0 1 0 0 1 0 0 x
0 0 0b0101100000100 0 1 0 0 0 0 0 x
0 0 0b0101100000100 0 1 0 0 1 0 0 x
0 0 0b0011000000111 0 1 0 0 0 0 0 x
0 0 0b0011000000111 0 1 0 0 1 0 0 x
0 0 0b1011000000000 0 1 0 0 0 0 0 x
0 0 0b1011000000000 0 1 0 0 1 0 0 x
0 0 0b0101100000101 0 1 0 0 0 0 0 x
0 0 0b0101100000101 0 1 0 0 1 0 0 x
0 0 0b0011000000111 0 1 0 0 0 0 0 x
0 0 0b0011000000111 0 1 0 0 1 0 0 x
0 0 0b1100000000000 0 1 0 0 0 0 0 x
0 0 0b1100000000000 0 1 0 0 1 0 0 x
0 0 0b0101100000110 0 1 0 0 0 0 0 x
0 0 0b0101100000110 0 1 0 0 1 0 0 x
0 0 0b0011000000111 0 1 0 0 0 0 0 x
0 0 0b0011000000111 0 1 0 0 1 0 0 x
0 0 0b1100100000000 0 1 0 0 0 0 0 x
0 0 0b1100100000000 0 1 0 0 1 0 0 x
0 0 0b0101100000111 0 1 0 0 0 0 0 x
0 0 0b0101100000111 0 1 0 0 1 0 0 x
0 0 0b0011000000111 0 1 0 0 0 0 0 x
0 0 0b0011000000111 0 1 0 0 1 0 0 x
0 0 0b1101000000000 0 1 0 0 0 0 0 x
0 0 0b1101000000000 0 1 0 0 1 0 0 x
0 0 0b0101100001000 0 1 0 0 0 0 0 x
0 0 0b0101100001000 0 1 0 0 1 0 0 x
0 0 0b0011000000111 0 1 0 0 0 0 0 x
0 0 0b0011000000111 0 1 0 0 1 0 0 x
0 0 0b1101100000000 0 1 0 0 0 0 0 x
0 0 0b1101100000000 0 1 0 0 1 0 0 x
0 0 0b0101100001001 0 1 0 0 0 0 0 x
0 0 0b0101100001001 0 1 0 0 1 0 0 x
0 0 0b0011000000111 0 1 0 0 0 0 0 x
0 0 0b0011000000111 0 1 0 0 1 0 0 x
0 0 0b1110000000000 0 1 0 0 0 0 0 x
0 0 0b1110000000000 0 1 0 0 1 0 0 x
0 0 0b0101100001010 0 1 0 0 0 0 0 x
0 0 0b0101100001010 0 1 0 0 1 0 0 x
0 0 0b0011000000111 0 1 0 0 0 0 0 x
0 0 0b0011000000111 0 1 0 0 1 0 0 x
0 0 0b1111100000000 0 1 0 0 0 0 0 x
0 0 0b1111100000000 0 1 0 0 1 0 0 x
0 0 0 0 0 1 0 0 0 0 x
0 0 0 0 0 1 0 1 0 0 x
1 1 0 0 0 0 0 0 x x x
1 1 0 0 0 0 0 1 x x x
1 1 0 0 0 0 0 0 x x x
1 1 0 0 0 0 0 1 x x x
1 1 0 0 0 0 0 0 x x x
1 1 0 0 0 0 0 1 x x x
1 1 0 0 0 0 0 0 x x x
1 1 0 0 0 0 0 1 x x x
1 1 0 0 0 0 0 0 x x x
1 1 0 0 0 0 0 1 x x x
1 1 0 0 0 0 0 0 x x x
1 1 0 0 0 0 0 1 x x x
1 1 0 0 0 0 0 0 x x x
