M N progIN reset progLoad start result clk valid done output
0 0 0 0 0 0 0 0 x x x
0 0 0 0 0 0 0 1 x x x
0 0 0b0011100000000 0 1 0 0 0 0 0 x
0 0 0b0011100000000 0 1 0 0 1 0 0 x
0 0 0b0011000000000 0 1 0 0 0 0 0 x
0 0 0b0011000000000 0 1 0 0 1 0 0 x
0 0 0b0001000001111 0 1 0 0 0 0 0 x
0 0 0b0001000001111 0 1 0 0 1 0 0 x
0 0 0b1000100000000 0 1 0 0 0 0 0 x
0 0 0b1000100000000 0 1 0 0 1 0 0 x
0 0 0b0101100000000 0 1 0 0 0 0 0 x
0 0 0b0101100000000 0 1 0 0 1 0 0 x
0 0 0b1111100000000 0 1 0 0 0 0 0 x
0 0 0b1111100000000 0 1 0 0 1 0 0 x
0 0 0 0 0 1 0 0 0 0 x
0 0 0 0 0 1 0 1 0 0 x
0b11110000 0b11110000 0 0 0 0 0 0 x x x
0b11110000 0b11110000 0 0 0 0 0 1 x x x
0b11110000 0b11110000 0 0 0 0 0 0 x x x
0b11110000 0b11110000 0 0 0 0 0 1 x x x
0b11110000 0b11110000 0 0 0 0 0 0 x x x
0b11110000 0b11110000 0 0 0 0 0 1 x x x
0b11110000 0b11110000 0 0 0 0 0 0 x x x
0b11110000 0b11110000 0 0 0 0 0 1 x x x
0b11110000 0b11110000 0 0 0 0 0 0 x x x
0b11110000 0b11110000 0 0 0 0 0 1 x x x
0b11110000 0b11110000 0 0 0 0 0 0 x x x
0b11110000 0b11110000 0 0 0 0 0 1 x x x
0b11110000 0b11110000 0 0 0 0 0 0 x x x
0b11110000 0b11110000 0 0 0 0 0 1 x x x
0b11110000 0b11110000 0 0 0 0 0 0 x x x
0b11110000 0b11110000 0 0 0 0 0 1 x x x
0b11110000 0b11110000 0 0 0 0 0 0 x x x
0b11110000 0b11110000 0 0 0 0 0 1 x x x
0b11110000 0b11110000 0 0 0 0 0 0 x x x
0b11110000 0b11110000 0 0 0 0 0 1 x x x
0b11110000 0b11110000 0 0 0 0 0 0 x x x
0b11110000 0b11110000 0 0 0 0 0 1 x x x
0b11110000 0b11110000 0 0 0 0 0 0 x x x
0b11110000 0b11110000 0 0 0 0 0 1 x x x
0b11110000 0b11110000 0 0 0 0 0 0 x x x
0b11110000 0b11110000 0 0 0 0 0 1 x x x
0b11110000 0b11110000 0 0 0 0 0 0 x x x
0b11110000 0b11110000 0 0 0 0 0 1 x x x
0b11110000 0b11110000 0 0 0 0 0 0 x x x
0b11110000 0b11110000 0 0 0 0 0 1 x x x
0b11110000 0b11110000 0 0 0 0 0 0 x x x
0b11110000 0b11110000 0 0 0 0 0 1 x x x
0 0 0 0 0 0 1 0 1 0 x
0 0 0 0 0 0 1 1 1 0 0b11111111
0 0 0 0 0 0 0 0 1 0 0b11111111
0 0 0 0 0 0 0 1 1 0 0
0 0 0 0 0 0 0 0 1 0 0
0 0 0 0 0 0 0 1 1 0 0
0 0 0 0 0 0 0 0 1 0 0
0 0 0 0 0 0 0 1 1 0 0
0 0 0 0 0 0 0 0 1 0 0
0 0 0 0 0 0 0 1 1 0 0
0 0 0 0 0 0 0 0 1 0 0
0 0 0 0 0 0 0 1 1 0 0
0 0 0 0 0 0 0 0 1 0 0
0 0 0 0 0 0 0 1 1 0 0
0 0 0 0 0 0 0 0 1 0 0
0 0 0 0 0 0 0 1 1 0 0
0 0 0 0 0 0 0 0 1 0 0
0 0 0 0 0 0 0 1 1 0 0
0 0 0 0 0 0 0 0 1 0 0
0 0 0 0 0 0 0 1 1 0 0
0 0 0 0 0 0 0 0 1 0 0
0 0 0 0 0 0 0 1 1 0 0
0 0 0 0 0 0 0 0 1 0 0
0 0 0 0 0 0 0 1 1 0 0
0 0 0 0 0 0 0 0 1 0 0
0 0 0 0 0 0 0 1 1 0 0
0 0 0 0 0 0 0 0 1 0 0
0 0 0 0 0 0 0 1 1 0 0
0 0 0 0 0 0 0 0 1 0 0
0 0 0 0 0 0 0 1 1 0 0
0 0 0 0 0 0 0 0 1 0 0
0 0 0 0 0 0 0 1 1 0 0
0 0 0 0 0 0 0 0 1 0 0
0 0 0 0 0 0 0 1 1 1 x
